T,Vgs,Vds,Id,Cgs,Cgd,Cds
375.0,3.0,2.5,0.02995437780692708,1.15e-13,0.0,4.677071733467426e-13
375.0,3.0,3.0,0.03023965759556448,1.15e-13,0.0,4.3495883620084003e-13
400.0,0.0,0.0,0.0,0.0,0.0,1e-12
400.0,0.0,0.5,0.0,0.0,0.0,7.637626158259732e-13
400.0,0.0,1.0,0.0,0.0,0.0,6.416889479197479e-13
400.0,0.0,1.5,0.0,0.0,0.0,5.640760748177662e-13
400.0,0.0,2.0,0.0,0.0,0.0,5.091750772173155e-13
400.0,0.0,2.5,0.0,0.0,0.0,4.677071733467426e-13
400.0,0.0,3.0,0.0,0.0,0.0,4.3495883620084003e-13
400.0,0.5,0.0,0.0,0.0,0.0,1e-12
400.0,0.5,0.5,0.0,0.0,0.0,7.637626158259732e-13
400.0,0.5,1.0,0.0,0.0,0.0,6.416889479197479e-13
400.0,0.5,1.5,0.0,0.0,0.0,5.640760748177662e-13
400.0,0.5,2.0,0.0,0.0,0.0,5.091750772173155e-13
400.0,0.5,2.5,0.0,0.0,0.0,4.677071733467426e-13
400.0,0.5,3.0,0.0,0.0,0.0,4.3495883620084003e-13
400.0,1.0,0.0,0.0,2.3e-13,1.15e-13,1e-12
400.0,1.0,0.5,0.00022632491396151568,1.15e-13,0.0,7.637626158259732e-13
400.0,1.0,1.0,0.0002285657546938079,1.15e-13,0.0,6.416889479197479e-13
400.0,1.0,1.5,0.00023080659542610015,1.15e-13,0.0,5.640760748177662e-13
400.0,1.0,2.0,0.00023304743615839237,1.15e-13,0.0,5.091750772173155e-13
400.0,1.0,2.5,0.00023528827689068462,1.15e-13,0.0,4.677071733467426e-13
400.0,1.0,3.0,0.00023752911762297684,1.15e-13,0.0,4.3495883620084003e-13
400.0,1.5,0.0,0.0,2.3e-13,1.15e-13,1e-12
400.0,1.5,0.5,0.0025209458238287645,2.3e-13,1.15e-13,7.637626158259732e-13
400.0,1.5,1.0,0.002799930494999148,1.15e-13,0.0,6.416889479197479e-13
400.0,1.5,1.5,0.002827380793969728,1.15e-13,0.0,5.640760748177662e-13
400.0,1.5,2.0,0.0028548310929403077,1.15e-13,0.0,5.091750772173155e-13
400.0,1.5,2.5,0.002882281391910888,1.15e-13,0.0,4.677071733467426e-13
400.0,1.5,3.0,0.0029097316908814675,1.15e-13,0.0,4.3495883620084003e-13
400.0,2.0,0.0,0.0,2.3e-13,1.15e-13,1e-12
400.0,2.0,0.5,0.005321996739194059,2.3e-13,1.15e-13,7.637626158259732e-13
400.0,2.0,1.0,0.007842942563022823,2.3e-13,1.15e-13,6.416889479197479e-13
400.0,2.0,1.5,0.008309037435339608,1.15e-13,0.0,5.640760748177662e-13
400.0,2.0,2.0,0.00838970770170213,1.15e-13,0.0,5.091750772173155e-13
400.0,2.0,2.5,0.00847037796806465,1.15e-13,0.0,4.677071733467426e-13
400.0,2.0,3.0,0.00855104823442717,1.15e-13,0.0,4.3495883620084003e-13
400.0,2.5,0.0,0.0,2.3e-13,1.15e-13,1e-12
400.0,2.5,0.5,0.008123047654559352,2.3e-13,1.15e-13,7.637626158259732e-13
400.0,2.5,1.0,0.013445044393753412,2.3e-13,1.15e-13,6.416889479197479e-13
400.0,2.5,1.5,0.015965990217582174,2.3e-13,1.15e-13,5.640760748177662e-13
400.0,2.5,2.0,0.016837677262443854,1.15e-13,0.0,5.091750772173155e-13
400.0,2.5,2.5,0.01699957800535197,1.15e-13,0.0,4.677071733467426e-13
400.0,2.5,3.0,0.017161478748260083,1.15e-13,0.0,4.3495883620084003e-13
400.0,3.0,0.0,0.0,2.3e-13,1.15e-13,1e-12
400.0,3.0,0.5,0.01092409856992465,2.3e-13,1.15e-13,7.637626158259732e-13
400.0,3.0,1.0,0.019047146224484002,2.3e-13,1.15e-13,6.416889479197479e-13
400.0,3.0,1.5,0.024369142963678064,2.3e-13,1.15e-13,5.640760748177662e-13
400.0,3.0,2.0,0.02689008878750683,2.3e-13,1.15e-13,5.091750772173155e-13
400.0,3.0,2.5,0.028469881503772856,1.15e-13,0.0,4.677071733467426e-13
400.0,3.0,3.0,0.028741023232380217,1.15e-13,0.0,4.3495883620084003e-13
